entry_signal_idx,entry_signal_time,entry_signal_zscore,entry_idx,entry_time,entry_fill_price_type,entry_delay_minutes,entry_fill_zscore,direction,entry_tsm_twd_fair,entry_tsm_twd_fair_open,entry_qff_close,entry_qff_open_filled,entry_qff_open_was_filled,tsm_units,qff_units,qff_contracts,raw_qff_contracts,leg_notional_twd,actual_leg_notional_twd,qff_contract_multiplier,entry_tsm_fee_twd,entry_qff_fee_twd,entry_qff_tax_twd,entry_fee_twd,exit_signal_idx,exit_signal_time,exit_signal_zscore,exit_idx,exit_time,exit_fill_price_type,exit_fill_zscore,exit_tsm_twd_fair,exit_tsm_twd_fair_open,exit_qff_close,exit_qff_open_filled,tsm_pnl,qff_pnl,gross_pnl_twd,exit_tsm_fee_twd,exit_qff_fee_twd,exit_qff_tax_twd,exit_fee_twd,tsm_fee_twd,qff_fee_twd,qff_tax_twd,total_fee_twd,net_pnl_twd,total_pnl,exit_reason,holding_minutes
167,2026-03-11 00:15:00+08:00,-1.682271543105326,168,2026-03-11 00:30:00+08:00,open,15,-0.6253533800350662,long_tsm_short_qff,60.748695999999995,60.748695999999995,60.4,60.4,False,15908.160399031447,-16000.0,-8,8.278145695364238,1000000.0,966400.0,2000.0,289.92,676.48,16,982.4000000000001,183,2026-03-11 21:45:00+08:00,0.1971253101142027,184,2026-03-11 22:00:00+08:00,open,-0.841942192119768,62.787400000000005,62.787400000000005,62.3,62.3,32432.030238147163,-30399.999999999978,2032.0302381471847,299.64960907144416,697.76,16,1013.4096090714442,589.5696090714441,1374.24,32,1995.8096090714444,36.22062907574036,36.22062907574036,zscore_exit,1290
188,2026-03-11 23:00:00+08:00,-1.744505297322073,189,2026-03-11 23:15:00+08:00,open,15,-0.6057326573754571,long_tsm_short_qff,62.23196,62.23196,62.1,62.1,False,15966.072738187902,-16000.0,-8,8.051529790660226,1000000.0,993600.0,2000.0,298.08,695.52,16,1009.5999999999999,212,2026-03-12 22:30:00+08:00,0.6889004625092583,213,2026-03-12 22:45:00+08:00,open,0.6951582263092373,59.711262,59.711262,58.9,58.9,-40245.64761900482,51200.000000000044,10954.352380995224,286.00630571429855,659.68,16,961.6863057142984,584.0863057142985,1355.1999999999998,32,1971.2863057142984,8983.066075280925,8983.066075280925,zscore_exit,1410
261,2026-03-16 21:45:00+08:00,-1.5298160050638048,262,2026-03-16 22:00:00+08:00,open,15,-1.3398305321748454,long_tsm_short_qff,60.860486,60.860486,60.8,60.8,False,15984.098451004811,-16000.0,-8,8.223684210526315,1000000.0,972800.0,2000.0,291.84,680.96,16,988.8,338,2026-03-19 21:30:00+08:00,0.0013314263525284,339,2026-03-19 21:45:00+08:00,open,1.871995232646068,57.95548600000001,57.95548600000001,58.2,58.2,-46433.80600016888,41599.99999999991,-4833.806000168966,277.9098581999493,651.84,16,945.7498581999494,569.7498581999494,1332.8000000000002,32,1934.5498581999493,-6768.3558583689155,-6768.3558583689155,zscore_exit,4305
391,2026-03-23 21:45:00+08:00,1.7789959603635277,392,2026-03-23 22:00:00+08:00,open,15,1.441148605770812,short_tsm_long_qff,58.87728,58.87728,58.1,58.1,False,-17762.369457284713,18000.0,9,8.605851979345955,1000000.0,1045800.0,2000.0,313.74,732.06,18,1063.8,397,2026-03-23 23:15:00+08:00,-0.2826854275878913,398,2026-03-23 23:30:00+08:00,open,-0.3400000572385137,58.15782,58.15782,57.8,57.8,12779.314329738023,-5400.000000000076,7379.3143297379465,309.9062057010786,728.2799999999999,18,1056.1862057010785,623.6462057010785,1460.3399999999997,36,2119.9862057010787,5259.328124036868,5259.328124036868,zscore_exit,90
436,2026-03-25 02:30:00+08:00,1.5141471932552966,437,2026-03-25 02:45:00+08:00,open,15,1.3162284124968875,short_tsm_long_qff,57.722808,57.722808,57.0,57.0,False,-17774.603065048395,18000.0,9,8.771929824561404,1000000.0,1026000.0,2000.0,307.8,718.2,18,1044.0,442,2026-03-25 21:30:00+08:00,-1.6394900631147868,443,2026-03-25 21:45:00+08:00,open,0.2025188623927765,59.41642,59.41642,59.1,59.1,-30103.281046202774,37800.00000000003,7696.718953797255,316.8309843138609,744.66,18,1079.4909843138607,624.6309843138608,1462.8600000000001,36,2123.4909843138607,5573.227969483394,5573.227969483394,zscore_exit,1140
454,2026-03-26 00:30:00+08:00,-1.7437193262563593,455,2026-03-26 00:45:00+08:00,open,15,-1.3394182607606375,long_tsm_short_qff,59.555256,59.555256,59.5,59.5,False,15985.155029809628,-16000.0,-8,8.403361344537815,1000000.0,952000.0,2000.0,285.6,666.4,16,968.0,478,2026-03-27 00:00:00+08:00,0.2021755212181062,479,2026-03-27 00:15:00+08:00,open,0.3253505079574863,58.22755199999999,58.22755199999999,57.7,57.7,-21223.554273698544,28799.999999999956,7576.445726301412,279.23293371789043,646.24,16,941.4729337178904,564.8329337178905,1312.6399999999999,32,1909.4729337178906,5666.972792583521,5666.972792583521,zscore_exit,1410
521,2026-03-30 21:45:00+08:00,-2.5415632227679463,522,2026-03-30 22:00:00+08:00,open,15,0.0535841198409253,long_tsm_short_qff,56.187156,56.187156,56.4,56.4,False,18068.18625950742,-18000.0,-9,8.865248226950355,1000000.0,1015200.0,2000.0,304.55999999999995,710.6399999999999,18,1033.1999999999998,579,2026-04-01 23:15:00+08:00,0.0053615480980794,580,2026-04-01 23:30:00+08:00,open,0.3019738972716991,57.70350599999999,57.70350599999999,57.8,57.8,27397.69423460387,-25199.999999999975,2197.694234603896,312.77930827038114,728.2799999999999,18,1059.059308270381,617.339308270381,1438.9199999999996,36,2092.2593082703806,105.43492633351525,105.43492633351525,zscore_exit,2970
669,2026-04-09 02:15:00+08:00,-1.5098508989116206,670,2026-04-09 02:30:00+08:00,open,15,-2.1129650699578537,long_tsm_short_qff,59.78466000000001,59.78466000000001,60.2,60.2,False,16111.156273197837,-16000.0,-8,8.305647840531561,1000000.0,963200.0,2000.0,288.96,674.24,16,979.2,672,2026-04-09 03:00:00+08:00,0.2965631509373269,673,2026-04-09 03:15:00+08:00,open,-0.7050989156512762,59.888044,59.888044,60.0,60.0,1665.6357801481445,3200.0000000000455,4865.63578014819,289.45969073404444,672.0,16,977.4596907340444,578.4196907340445,1346.24,32,1956.6596907340445,2908.9760894141455,2908.9760894141455,zscore_exit,45
728,2026-04-13 21:30:00+08:00,1.92649845044008,729,2026-04-13 21:45:00+08:00,open,15,1.7664748198592657,short_tsm_long_qff,60.639385000000004,60.639385000000004,60.7,60.7,False,-16015.993565897807,16000.0,8,8.237232289950576,1000000.0,971200.0,2000.0,291.36,679.84,16,987.2,760,2026-04-14 23:00:00+08:00,-0.7618147229974693,761,2026-04-14 23:15:00+08:00,open,-0.2615922480296436,60.10189799999999,60.10189799999999,60.3,60.3,8608.388333753921,-6400.000000000091,2208.38833375383,288.7774834998738,675.36,16,980.1374834998738,580.1374834998738,1355.2,32,1967.337483499874,241.050850253956,241.050850253956,zscore_exit,1530
780,2026-04-15 21:30:00+08:00,-2.224698575467832,781,2026-04-15 21:45:00+08:00,open,15,-0.9367529745145264,long_tsm_short_qff,61.963677999999994,61.963677999999994,62.5,62.5,False,16138.486808352469,-16000.0,-8,8.0,1000000.0,1000000.0,2000.0,300.0,700.0,24,1024.0,859,2026-04-20 21:45:00+08:00,0.1908814594375953,860,2026-04-20 22:00:00+08:00,open,0.4299102057243689,78.01906,78.01906,79.1,79.1,259109.57061005972,-265599.9999999999,-6490.429389940167,377.73287118301795,885.92,24,1287.6528711830179,677.732871183018,1585.92,48,2311.652871183018,-8802.082261123185,-8802.082261123185,zscore_exit,7215
